acc_x,acc_y,acc_z
0.129291,0.251399,9.924269
0.129291,0.268159,9.931452
0.126897,0.246610,9.924269
0.136474,0.251399,9.936240
0.110137,0.260976,9.943423
0.141262,0.263370,9.924269
0.138868,0.256187,9.905115
0.107742,0.241822,9.912297
0.124502,0.253793,9.924269
0.129291,0.260976,9.919480
0.122108,0.265765,9.929058
0.124502,0.244216,9.926663
0.134079,0.234639,9.902720
0.146051,0.251399,9.926663
0.112531,0.258582,9.909904
0.146051,0.246610,9.938635
0.114925,0.258582,9.912297
0.114925,0.246610,9.929058
0.153234,0.258582,9.943423
0.138868,0.237033,9.914692
0.126897,0.244216,9.924269
0.141262,0.249005,9.938635
0.136474,0.275342,9.926663
0.136474,0.256187,9.931452
0.122108,0.268159,9.921875
0.114925,0.249005,9.919480
0.129291,0.256187,9.917087
0.124502,0.253793,9.941029
0.141262,0.244216,9.921875
0.134079,0.251399,9.931452
0.141262,0.260976,9.909904
0.138868,0.260976,9.919480
0.114925,0.256187,9.924269
0.117319,0.249005,9.909904
0.131685,0.249005,9.953000
0.126897,0.260976,9.921875
0.129291,0.270553,9.936240
0.129291,0.251399,9.919480
0.119714,0.249005,9.933846
0.114925,0.282524,9.933846
0.129291,0.246610,9.917087
0.138868,0.253793,9.929058
0.112531,0.249005,9.938635
0.122108,0.270553,9.914692
0.129291,0.256187,9.941029
0.126897,0.251399,9.938635
0.136474,0.263370,9.917087
0.134079,0.263370,9.941029
0.129291,0.258582,9.921875
0.124502,0.244216,9.931452
0.122108,0.256187,9.914692
0.138868,0.251399,9.945818
0.126897,0.251399,9.933846
0.126897,0.249005,9.924269
0.131685,0.270553,9.921875
0.126897,0.258582,9.933846
0.134079,0.244216,9.931452
0.122108,0.253793,9.917087
0.138868,0.258582,9.919480
0.122108,0.258582,9.924269
0.126897,0.260976,9.933846
0.122108,0.253793,9.919480
0.124502,0.244216,9.936240
0.136474,0.263370,9.917087
0.131685,0.272947,9.919480
0.136474,0.263370,9.921875
0.124502,0.227456,9.914692
0.131685,0.270553,9.921875
0.143656,0.251399,9.924269
3.950553,-4.139701,9.991309
1.273754,-1.460508,9.936240
0.107742,-0.201119,9.900327
-0.986441,0.857150,9.921875
-1.582616,1.924997,9.862018
-1.371920,2.169213,9.957788
-0.555472,1.932180,9.929058
0.000000,0.347170,9.955395
-0.260976,0.706311,9.912297
0.557866,0.105348,9.960183
0.509981,-0.143656,9.924269
0.193936,0.201119,9.960183
0.119714,0.241822,9.917087
0.129291,0.253793,9.948212
0.134079,0.258582,9.909904
0.136474,0.256187,9.936240
0.112531,0.246610,9.931452
0.134079,0.241822,9.936240
0.126897,0.253793,9.933846
0.117319,0.256187,9.929058
0.131685,0.244216,9.914692
0.136474,0.244216,9.926663
0.126897,0.244216,9.936240
0.141262,0.232245,9.912297
0.138868,0.244216,9.924269
0.107742,0.260976,9.926663
0.131685,0.249005,9.933846
0.129291,0.260976,9.919480
0.117319,0.244216,9.907509
0.138868,0.253793,9.943423
0.126897,0.246610,9.931452
0.131685,0.244216,9.943423
0.117319,0.244216,9.929058
0.124502,0.263370,9.931452
0.138868,0.232245,9.936240
0.131685,0.227456,9.924269
0.134079,0.251399,9.924269
0.131685,0.244216,9.919480
0.138868,0.244216,9.924269
0.131685,0.246610,9.936240
0.117319,0.239427,9.933846
0.143656,0.256187,9.921875
0.136474,0.258582,9.926663
0.112531,0.246610,9.931452
0.143656,0.258582,9.941029
0.122108,0.246610,9.933846
0.126897,0.234639,9.929058
0.112531,0.253793,9.929058
0.134079,0.246610,9.953000
0.126897,0.270553,9.931452
0.131685,0.244216,9.931452
0.124502,0.246610,9.919480
0.131685,0.256187,9.924269
0.124502,0.234639,9.941029
0.155628,0.253793,9.924269
0.134079,0.241822,9.933846
0.131685,0.237033,9.941029
0.122108,0.256187,9.926663
0.146051,0.239427,9.953000
0.143656,0.249005,9.929058
0.143656,0.251399,9.926663
